,dgf,dgt,dsf,dst,p1u,p3u,dji_return,dji_price,sp500_return,sp500_price,labelled,epu,ads,vix,ads_chg,vix_chg,epu_chg,dgt_resid,dst_resid,p1u_resid,dgf_unlab,dgt_unlab,dsf_unlab,dst_unlab,p1u_unlab,p3u_unlab,dst_unlab_resid,dji_return1,dji_turnover,sp500_return1,sp500_turnover,sp500_turnover_chg,dji_turnover_chg,sp500_volatility,dji_volatility,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other,low,high,WeekDay,dgf_unlab_nw,dst_unlab_nw,dgf_unlab_nw_est,dst_unlab_nw_est,dst_unlab_nw_resid,Friday,Monday,Tuesday,Thursday,Wednesday
2016-09-02,0.7168599779234341,3.6769964206592296,-1.3072728766320116,1.3142830525116562,2.0203019864425635,1.8082057225050363,0.4285995511646943,-1.7154013121084493,0.4954088691645295,-1.5984240054020058,-0.8467204430412942,-0.8391036744685012,-0.9721938060522112,-0.4296024771192528,0.08319037752942922,-1.1149458837506196,-0.4529320511037331,6.878331521670186,6.635724651400572,1.1751971165746489,2.9016387515336817,10.088966229526507,-2.0896866042093065,4.002745842029847,5.752635966631951,5.640112155215231,2.111314826403837,0.4178956324807232,-1.990851535212852,0.4924456063400459,-2.314980452154764,-0.16041485071370265,-0.03369009259759476,0.5520856491337921,0.5300633303726131,0.9190663313785734,0.3944749215562919,0.5510692406129558,0.8563995938388916,0.7001013828308102,0.33747768706669395,0.690626859831805,1.5724628725617962,0.3965604310418399,0.0275663726065936,0.5138262723881252,0.4647063107657805,0,1,Friday,2.945003320562241,4.108901812020611,1.8449411309410624,3.1797859408493876,2.8860295616041793,1,0,0,0,0
2016-09-06,3.571774649419817,8.149502049296233,2.0938162677896317,6.5399753688850675,7.928752911327287,5.0857442548477305,0.2534446342906776,-1.696751075171883,0.34287391725776595,-1.5694144731687405,7.219344705023278,-1.2545854728765882,-0.9420402737073528,-0.4205571583163792,0.0765730696276379,-0.021430122209338882,-0.9452433630797141,11.270705238921199,11.660640771919171,11.18577246607362,0.9974541544728568,7.603225931530713,-0.7707351172695576,6.149704790075456,7.152359450349202,3.6697768514330016,5.499515057312274,0.242540917156686,-1.9111878054856115,0.33533459463553944,-2.193921102403018,0.6987219123899727,0.484034907377766,0.5419774593442761,0.5540394126245902,0.17733975518010733,0.37687249370652603,-0.2270391792980097,1.0554119726407314,-0.06698332256520785,0.34667005317620725,0.23297312965327546,1.8631515946754331,0.20041306203105624,0.695903494559235,-0.5790723744798053,0.06053042471938847,0,1,Tuesday,-1.711752331363956,2.298884086697594,-1.56318203354348,2.3018751175424237,4.51221600312612,0,0,1,0,0
2016-09-07,3.726538965693009,5.37163053549453,1.3390040227183808,3.7161871885478233,4.0652401590924665,5.090469971753844,-0.12740328389098868,-1.7015914096281235,-0.04925498804591062,-1.5708426347556097,2.3250274940769486,-1.255793854258289,-0.937550852747282,-0.4386477959221268,0.07448881638031075,-0.086834858606794,-0.2264212774143801,4.678787555712244,6.255175016849719,-2.382556567364785,3.8528548087959753,6.591034440833358,-0.799658038098479,3.968738303656452,4.430759247452931,6.970826356032772,1.4572578238039156,-0.08054509812615368,-2.0485899910039853,-0.02870024228212745,-2.2840311807846634,-0.5298911672899973,-0.901542272105684,0.6840241263860698,0.7651801369607681,-0.6903403905614944,0.2800591405328136,-0.009168821722939395,0.23548097197715134,-0.7957137926914251,0.052514337671783366,0.3817105919612975,0.4476239043829393,-0.34444074077667625,0.10302378960124667,0.17358424081603355,0.3861165551456487,0,1,Wednesday,3.8755884754358187,4.07527136238008,3.6464407358011273,3.8734378864341705,2.0389910734452776,0,0,0,0,1
2016-09-08,5.1973692539225125,5.252418153478998,0.9639162269923732,2.3144113204903163,5.068821104559448,1.8507766335373848,-0.3520707627351949,-1.7202699289863868,-0.3102702090313189,-1.5925328388561732,4.4352765789409245,-1.0203608817236047,-0.9344958680035764,-0.30975200298117544,0.0723862994179549,0.4477009612847197,0.2541884208977668,1.4615073928677529,3.572770656926768,11.72996253798058,4.574258467424546,4.471121660974205,-2.2110090262095468,0.2802531630041424,4.17067592865587,-0.8089495887872153,-2.7014737436287595,-0.363420167902268,-1.9507557873302388,-0.31496781943494034,-2.2552394835054166,0.16034513505730724,0.6444658039484101,0.7558454748903042,0.7790581845705665,-0.8442836422253269,-0.6616707494296612,-0.4656590947373726,1.3897527690278224,-0.6295121065222878,-0.7747986121844087,-0.15603254099847474,0.7762285467722683,-0.8130150111913261,0.24315899259131665,0.08079095947819044,-0.01805933090074333,0,0,Thursday,4.581345627310852,0.4276855709426931,3.741400743370615,0.02710226745966121,-3.386610011704311,0,0,0,1,0
2016-09-09,0.393333114525777,4.311709481941016,-1.9112069664675104,0.05384293638754099,0.6949656471388052,0.9021684311611824,-2.6663457925388494,-1.8796454155981248,-3.147686903900361,-1.831258974111155,0.8590333960596479,-0.961351590917221,-0.9328749222182876,0.8186515176773281,0.0702756783767138,3.8983970242455785,-0.1382545402712835,8.962024965658902,4.886158996452808,-0.5117206467470204,-0.910255235862482,6.789457001371403,-4.911432397569352,-1.0283514676393737,0.013894599191093109,0.36322895331774296,-0.4350022837217485,-2.6796475436708485,-1.5965609331762385,-3.1576848828439905,-1.936707224285688,1.56904800642248,1.7510046630591027,-1.0434123076387114,-0.6204646166110973,-4.468947476855567,-2.7651608774766845,-3.090478164570363,-2.351679952446766,-3.2631695950486166,-2.3099237524731207,-3.2566365629580134,-4.544638931916481,-2.567444256232225,-2.440969126218485,-1.4657637294858623,-3.195330879543214,1,0,Friday,-0.7842145890178653,-0.8664087456472084,-0.3671612612092303,-0.035800776861608215,-0.4677692758472251,1,0,0,0,0
2016-09-12,-1.81575905671212,-0.297039768646387,-2.9831456930835984,-1.9611833333110764,0.06608799390187398,-0.2548516355352143,1.5476877010853594,-1.7828306457814018,1.7982461526123663,-1.691879329242711,-1.7551886887141668,-1.2565994418460893,-0.9354130888641904,0.2895003677092124,0.06688323278206773,-1.3354486505692973,-0.624097733645021,2.9672598116300963,2.353594700894194,1.065057860414302,-1.6662378003782061,1.7126218385002718,-4.142734773952042,-1.837361282767848,2.4130229544708945,2.041662427916801,-0.7512254385391306,1.5378987544173446,-1.7448104132463005,1.7961317549551736,-2.022248137768536,-0.38804504893719005,-0.6585817635856617,-1.198227214414585,-0.8641674526543556,2.822364715585957,1.7058557963638503,1.3291776605239214,0.6096242441246102,1.6461725194858994,1.3945997896607172,2.1780014829120264,1.9010675149511247,1.2683265155342118,1.8493240114775031,1.0602755958220904,1.710915292742156,1,0,Monday,-1.645126856157351,-3.1580614623130625,-1.2695660130561304,-2.8366459013727394,-2.751519524138223,0,1,0,0,0
2016-09-13,1.5949277142865623,2.725918269629436,-0.23495598121611386,1.8081911813254627,2.049829271683874,1.6713262016285022,-1.7711518036100908,-1.8872008625373318,-1.9066250297890048,-1.8347847480287365,0.9438378014084416,-0.3730712549259352,-0.9375419970234554,0.8977980572024742,0.0659437685864108,1.7222899187933298,1.5729072222036329,2.9678660391505827,5.245554477441371,1.7262982026955282,1.3668582559613494,3.5353785425510753,-2.4005013788833924,1.9830828171678463,2.3956616247689246,1.6363119402734347,1.092097301509399,-1.7464362831451723,-1.7484358254330412,-1.8786750189027075,-2.032833735651784,-0.06009854850210364,-0.02681105007647129,-0.4544772499037419,-0.16799706438279088,-1.865907039630761,-1.3921715051949453,-1.6587586719341867,-2.439245399119576,-2.0869730467747223,-0.7656062460748955,-2.112502237511689,-2.155935954547897,-1.4995308027290692,-1.6324968012757737,-1.6513502921615486,-2.072620084969903,0,1,Tuesday,1.4435106425687967,2.111633591583847,2.3601796225602594,2.841220853468098,1.5435331169898105,0,0,1,0,0
2016-09-14,2.483415234784334,0.3759338620674216,-0.4398152912629764,-0.07589960487255705,0.17113888990135434,0.33160702338687226,-0.26390036955989016,-1.900121888907162,-0.10467774966629474,-1.8403635042274409,-0.7077442622455847,-1.0233818351778559,-0.940321492159316,0.9633766185233088,0.06501352604500106,0.13822522102192755,-0.7537959681789941,-4.1269054818252275,0.8967917027441924,-0.4838343791255943,11.700411522564428,1.5051169726762643,-0.3227314786447929,0.5403263305818534,1.2493037962998172,1.874316412683657,-7.086578030848062,-0.2752090385763405,-1.7438978887419132,-0.105799244140745,-2.1251343162172383,-0.4580415115040659,0.011929272003996159,0.012095510379509716,0.17576811493281808,-0.3264745229924356,-0.39763433168317297,-0.3722860843480567,-1.0700402329629182,-0.10533755783500874,0.5029402770379323,0.027028951072937075,0.28332158318827483,-0.3662348928889855,0.2647182545897889,-0.589382739072899,-0.18646595008674,0,0,Wednesday,11.55293971872721,0.6848749466935213,11.752468363502944,-0.020266433884572017,-9.059954767705685,0,0,0,0,1
2016-09-15,-1.2149875116082995,-1.028684493501889,-1.9365216187925656,-1.159247736250104,-0.3304219481208382,-0.9486731523098472,1.1404855471780448,-1.8283209009089567,1.2318378851477805,-1.7444535276593052,-2.5193243487724315,-0.9071758256376401,-0.9437519357062218,0.5472919535911149,0.06409435669845254,-1.0182213804475124,-0.05455088399430732,0.10874195196267863,1.8214103729321816,1.9425545831872184,2.9547487289918526,2.0896021886786262,-0.15086799215353675,1.9089161982261995,4.494050566982552,2.9990785101419664,-0.017134515854859034,1.1408664086119853,-1.7762431369860492,1.2431819657503236,-2.173770677518169,-0.2643298835907553,-0.1655530205627462,-0.3879760012886831,-0.1663230586399651,0.8630869671371797,0.9137465431243856,1.0386838504238276,0.9758070211199954,1.0197200100791513,1.4865234507558494,1.113956560246945,0.8520603873236519,0.9196200817372632,1.2025461515233338,0.8025164809947483,0.8688821968121726,0,1,Thursday,2.9969613969854767,2.0382893607859813,1.1054460332299125,1.2573338551114657,0.10682996511406627,0,0,0,1,0
2016-09-16,-2.048255902305358,-1.5726180482340868,-2.047684784780576,-0.5979828904520734,-1.3137602333717084,-1.9365679826820548,-0.6410916571393118,-1.864150688853816,-0.5053338633590556,-1.7806038678269152,-2.352196292958128,-0.789962831612673,-0.9478337737453282,0.3369882914242995,0.06318803358599047,-0.582115234396911,-0.07421049701464431,0.5486725969580163,3.5446047949707435,1.7229670798423231,0.5137344642197968,0.8563558907028639,-0.2893689080347876,4.560307599989192,1.81168848836214,0.17070173078390918,4.225430179804567,-0.6527497170044999,-0.25278092320459594,-0.5143119167380131,-0.7746089676707804,4.516419209606483,4.273886169024884,0.3392816535655797,0.3068265645399497,-0.6483558673804491,-0.17760398356109938,-0.7872772416339049,-0.6799759705113119,-0.3738172047236152,-0.4071039678038789,-0.5335968683957617,0.8520603873236519,-0.14829337176589255,0.0922441586020105,-0.7440382079693043,-0.7029129155904631,0,1,Friday,0.6088902324076263,4.6602811096532655,2.8459593940104337,4.036991666488202,5.629054976781247,1,0,0,0,0
