node;instance_name;dimension_0;dimension_1
gen.0.0;👧🏾;-12.428947758330732;6.597896289835736
gen.0.0;🎻;-8.648552550050018;12.934462210741819
gen.0.0;🏄🏼;-9.796109238057;14.01874610507046
gen.0.0;🆎;-11.091688292220425;9.407893626897081
gen.0.0;🚱;-11.080543046568248;8.857985228442438
gen.0.0.0;🇱🇺;-15.07456185118465;14.798243630203672
gen.0.0.0;🇨🇴;-17.156200211227432;10.26712163231213
gen.0.0.0;🌆;-15.714970023617619;11.864734402484213
gen.0.0.0;🇵🇸;-17.876107986871414;11.880663316324553
gen.0.0.1;🈲;-9.40177141940654;10.471167561627828
gen.0.0.1;㊙️;-9.396737816218643;10.473375671787046
gen.0.0.1;🈹;-9.378795175567115;10.464727125029453
gen.0.0.1;㊗️;-9.369105827026672;10.427495721327706
gen.0.0.2;🎽;-11.000519172640244;12.173212189316079
gen.0.0.2;🚟;-11.678279389903986;11.852356996421749
gen.0.0.2;📳;-12.2695556877704;11.086943073128767
gen.0.0.2;♏;-12.96943743401391;11.307533099807006
gen.0.0.2;♑;-13.249343463256064;12.392994830181676
gen.0.0.2;♈;-13.39999457666254;11.765031671959543
gen.0.0.2;🚳;-11.695994140113472;10.957801899318577
gen.0.0.2;♍;-12.946274508637194;11.419801163271456
gen.0.0.2;♌;-13.347536540712799;12.219171205491056
gen.0.0.2;♊;-13.135284105834813;12.130680379650961
gen.0.0.2;⛎;-13.142032988646784;11.967981778956695
gen.0.0.2;🆔;-12.171595320898712;11.45282013463978
gen.0.0.2;♎;-12.895059949290545;11.457728349016685
gen.0.0.2;⏏;-11.974292121253669;11.483173989336176
gen.0.0.2;📔;-11.60912653714862;11.733408032436973
gen.0.0.3;♠️;-11.869197911007207;16.112959326332273
gen.0.0.3;♦️;-11.939900757810777;16.17244192636224
gen.0.0.3;♣️;-11.971101092198827;16.133583151457234
gen.0.0.4;🈶;-11.962479085710306;9.259651056725469
gen.0.0.4;🉑;-11.966567532424321;9.693632427183763
gen.0.0.4;🈸;-11.821129697921293;9.656938118799452
gen.0.0.4;🈺;-11.853908429101915;9.559280084065104
gen.0.0.4;🈚;-11.61440277301965;9.482250339826368
gen.0.0.4;🈳;-11.966729736658388;9.736702949964965
gen.0.0.4;🈷️;-11.827432700450684;9.737766576392794
gen.0.0.5;♥️;-11.672459657367366;15.885267572015687
gen.0.0.6;🇨🇨;-14.402622124262578;8.820033132508245
gen.0.0.6;🇲🇷;-14.515486310432998;8.665807419724455
gen.0.0.6;🇲🇴;-14.436140339072782;8.75108747664962
gen.0.0.6;🇳🇫;-14.405563332070221;8.759823896201254
gen.0.1.0;🇦🇼;-15.88309169899134;5.145734020078279
gen.0.1.0;🇸🇮;-15.19914583716886;6.1772145213581435
gen.0.1.0;🇩🇲;-15.408540763452386;7.202045935009986
gen.0.1.0;🇷🇴;-15.115870855189296;5.2183629201602875
gen.0.1.0;🇫🇴;-15.826356675258735;4.988924308777375
gen.0.1.0;🇦🇲;-14.57366155770488;5.766253800846403
gen.0.1.0.0;🇦🇿;-16.193779914681613;6.216921960647541
gen.0.1.0.0;🇧🇾;-16.294258953174005;5.743349232314613
gen.0.1.0.0;🇧🇧;-16.058140694196936;6.284968718362892
gen.0.1.0.0;🇦🇽;-16.0762215404851;5.797223444655254
gen.0.1.0.0;🇪🇨;-15.980291471754784;5.683225843445998
gen.0.1.0.0;🇵🇦;-16.376113831058213;5.7003615553163804
gen.0.1.0.1;🇦🇫;-14.228727350076023;4.8106530490354995
gen.0.1.1;🇦🇴;-17.919665325556775;6.205194274298919
gen.0.1.1;🇧🇴;-17.946205197113247;7.711604058622627
gen.0.1.1;🇧🇬;-18.175341452651796;6.821005500070567
gen.0.1.1;🇦🇮;-16.179537071251477;6.868481023829656
gen.0.1.1;🇧🇫;-17.671196686841068;6.765231054476477
gen.0.1.1;🇦🇸;-16.888565755171367;6.1002210634871
gen.0.1.1;🇧🇯;-17.336669700501606;6.695630727702653
gen.0.1.1.0;🇧🇩;-17.106913712312963;6.189987529235381
gen.0.1.1.0;🇦🇶;-16.99420147030879;6.086239250380215
gen.0.1.1.0;🇧🇼;-17.08956566415179;6.833158432015214
gen.0.1.1.0;🇦🇩;-17.165830594009922;6.205431689174348
gen.0.1.1.0;🇦🇬;-17.192288682554093;5.890611427374559
gen.0.1.1.0;🇧🇿;-17.135552154932785;6.644313688667138
gen.0.1.1.0;🇧🇮;-17.06005826636955;5.485582500504618
gen.0.1.1.0;🇩🇿;-17.04638454049889;6.131634338610777
gen.0.1.1.1;🇧🇦;-16.760679419437544;7.265936716071695
gen.0.1.1.1;🇻🇬;-16.668831747794385;7.56636573432446
gen.0.1.2;🇪🇬;-19.354492652780216;4.082813581514227
gen.0.1.2;🇸🇻;-18.59059508080238;4.99822895844058
gen.0.1.2;🇲🇾;-16.235362324917;4.492006732555763
gen.0.1.2;🇫🇮;-18.767374332312382;5.681899461272057
gen.0.1.2;🇬🇳;-17.69585213717292;3.9715771664568855
gen.0.1.2;🇨🇿;-16.844744452928687;4.087825789036378
gen.0.1.2;🇲🇬;-18.01828178883846;3.02107812555628
gen.0.1.2;🇬🇪;-15.869900102149224;4.117062155910175
gen.0.1.2;🇧🇶;-17.961664669288453;5.333535700583892
gen.0.1.2;🇮🇲;-15.309395355627403;3.810246353753922
gen.0.1.2;🇻🇮;-17.60775464722357;4.728136042597392
gen.0.1.2;🇲🇭;-17.029168055891095;3.766656967815869
gen.0.1.2;🇱🇧;-16.74507892350768;3.24062225226084
gen.0.1.2;🇰🇾;-16.868384459584103;4.552379521109949
gen.0.1.2;🇪🇹;-18.9452151256852;4.365008775283071
gen.0.1.2;🇪🇭;-17.768818029114367;5.461348790251089
gen.0.1.2;🇦🇹;-15.856254323850585;2.9845292032442465
gen.0.1.2.0;🇹🇩;-16.926775856027902;5.244846454934259
gen.0.1.2.0;🇩🇯;-17.328270219310724;4.806155400259061
gen.0.1.2.0;🇭🇳;-17.08344494476457;5.133375259903281
gen.0.1.2.0;🇫🇰;-16.47239452216272;4.8905688304819375
gen.0.1.2.0;🇱🇻;-16.96926028990443;4.79838937561065
gen.0.1.2.0;🇻🇦;-17.984996671110334;4.982766284716382
gen.0.1.2.0;🇷🇸;-16.41144220432554;4.90532042757943
gen.0.1.3;🇳🇮;-19.91951957714912;5.9442417123015705
gen.0.2;🥡;-10.862594026876113;-7.246616456893576
gen.0.2;🦃;-10.111836010007748;-8.765823716351735
gen.0.2;🧀;-11.863602826851094;-8.139065693423198
gen.0.2;🌮;-8.428805310578865;-9.528790010893033
gen.0.2;🌽;-8.881253495743278;-12.084996811979195
gen.0.2;🥑;-8.34271396897853;-11.339177912284244
gen.0.2;🍍;-8.44201858566241;-13.379178337680981
gen.0.2;🥓;-10.176134779896593;-13.018864238898948
gen.0.2;🍳;-10.14591748812899;-13.016659994721934
gen.0.2;🍤;-14.470606203930908;-13.16441403660554
gen.0.2;🍞;-11.622368390160805;-13.678297264986776
gen.0.2;🥖;-11.612402937888563;-13.631375504481381
gen.0.2;🥐;-11.677382937917065;-12.604386657972256
gen.0.2;🍠;-9.326500781922554;-11.613522791324424
gen.0.2;👸🏿;-13.209216378974732;-11.844329655053478
gen.0.2.0;🐒;-7.546576686480375;-9.242883354063121
gen.0.2.0;🍒;-7.559279284308235;-13.250002171552033
gen.0.2.0;🍌;-7.439477857693822;-9.514414846068629
gen.0.2.0;🍊;-7.093535599062705;-9.893468000861866
gen.0.2.0;🌶;-6.951477485087877;-11.548034626372766
gen.0.2.0;🍉;-7.060599526521945;-12.78945926504926
gen.0.2.0;🍅;-7.482226900061081;-11.235087462353754
gen.0.2.0;🍓;-7.49586715266547;-12.942910152529873
gen.0.2.0;🥒;-7.068335499113215;-12.030387524667532
gen.0.2.0;🍇;-7.169536408465151;-13.097816473525059
gen.0.2.0.0;🍏;-7.773426020066426;-11.39575271935457
gen.0.2.0.0;🍈;-7.953391862491333;-11.528352803510597
gen.0.2.0.0;🍐;-7.948422795172251;-11.441930882779909
gen.0.2.1.0;🍭;-14.427459333244338;-10.71815210460313
gen.0.2.1.0;🍫;-13.772470355923208;-10.781529557114867
gen.0.2.1.0;🍬;-14.567830101596932;-10.715864343148576
gen.0.2.1.1;😋;-9.870643329661613;-10.817530630113035
gen.0.2.1.1;🍔;-11.252501371295796;-10.177916529151743
gen.0.2.1.1;🍕;-11.15557999469221;-10.866236432964408
gen.0.2.1.1;🍟;-11.39128779971645;-10.52503501131357
gen.0.2.1.1;🌭;-11.543828377176915;-10.217663722431094
gen.0.2.1.1;🍜;-10.716222400515987;-11.062861482200132
gen.0.2.1.1;🍣;-11.416090801220816;-11.41975069565178
gen.0.2.1.1;🍝;-11.320301505514912;-10.37879353101596
gen.0.2.1.1;🍲;-10.330301895909797;-10.921310733238322
gen.0.2.1.1;🍚;-10.748826002063314;-11.43973019258487
gen.0.2.1.1;🍱;-11.360793269276638;-11.048365393204117
gen.0.2.1.1;🍛;-10.411772197554019;-10.420833120604302
gen.0.2.1.1;🍙;-11.064514357983217;-11.694652421201864
gen.0.2.1.1;🍥;-11.656055608789035;-11.487811672973173
gen.0.2.1.2;🌯;-9.011064657282711;-9.695590653555314
gen.0.2.1.2;🍗;-10.310376410114888;-10.139723886141045
gen.0.2.1.2;🍖;-10.163753794049688;-10.080798285769912
gen.0.2.1.2;🍦;-12.801766193531567;-9.935825462358613
gen.0.2.1.2;🍴;-10.412606266027412;-9.749559064109858
gen.0.2.1.2;🍽;-10.274508626605627;-9.7913857649303
gen.0.2.1.2;🥘;-10.163199682476803;-10.037526146610098
gen.0.2.1.2;🥗;-10.82174889504129;-9.501758245225624
gen.0.2.1.2;🥙;-9.174406651446613;-9.743941725830648
gen.0.2.1.2;🍨;-12.879269194328524;-9.737712903334856
gen.0.2.1.2;🍡;-13.500655307746698;-10.06400436516918
gen.0.2.1.2;🍢;-11.925577564508584;-9.423900796076534
gen.0.2.1.3;🍪;-12.749995443231999;-11.025543303428854
gen.0.2.1.3;🍩;-12.693143874595819;-10.9789275414774
gen.0.2.1.3;🍮;-12.882216329331298;-10.912658612865922
gen.0.2.1.3;🍘;-12.785542668792377;-11.238924298656784
gen.0.2.2;👲;-8.344315819194259;-14.87330166594767
gen.0.2.2;🍎;-16.085995630045566;-14.263328662308306
gen.0.2.2;🐛;-16.063087434172022;-14.26338708989748
gen.0.2.2;🥄;-9.94256846772766;-14.820039543593023
gen.0.2.2;🇻🇪;-12.838082564979501;-15.286963940563892
gen.0.2.2;🏟;-14.46840066338489;-15.182252877304446
gen.0.2.2;🇿🇼;-11.121007800720204;-16.239524695419487
gen.0.3;🌿;-7.3720111359774;5.674198868285563
gen.0.3;🌾;-6.731714086719607;5.676568846470931
gen.0.3;🔆;-8.218379695315777;8.801625477146256
gen.0.3;⏺;-8.338531843344091;7.758849565974172
gen.0.3;🔦;-6.827732913567989;8.750899303697784
gen.0.3;🎎;-7.811772061496491;16.227636869348405
gen.0.3;📻;-6.309258278494507;9.947844116815846
gen.0.3;📟;-6.402146547689583;8.679898417770906
gen.0.3;👨‍👩‍👧‍👧;-8.021630870017624;14.696480435129095
gen.0.3;💿;-6.459351695499358;10.931987710404087
gen.0.3;🐙;-6.906360697533864;-2.2191727570872612
gen.0.3.0;🎶;-6.923187518253428;11.657514760199408
gen.0.3.0;🎵;-6.451620424938484;12.38438693383102
gen.0.3.0;🎼;-6.7416440663533175;12.32865439896134
gen.0.3.0;🎤;-6.552219903536046;11.356044379572186
gen.0.3.0;🎹;-6.692303491765239;12.598245484004265
gen.0.3.0;🎙;-6.195826439532573;12.129852126682524
gen.0.3.0;📀;-5.914672249109474;12.628073924206369
gen.0.3.0.0;🎸;-7.135752189037046;12.025377293649687
gen.0.3.0.0;🎺;-7.285662336218489;12.018745418830992
gen.0.3.0.0;🎷;-7.259004472619603;12.132774335050648
gen.0.3.1;👖;-3.331368992456283;6.7142666582385075
gen.0.3.1;🇫🇯;-3.946839499751421;5.747396865079736
gen.0.3.1.0;🍿;-3.328569366978033;9.045828824379708
gen.0.3.1.0;🎥;-3.27608056921389;9.033682929115466
gen.0.3.1.0;🎬;-3.1815648978574993;9.01443342765254
gen.0.3.1.0;📽;-3.168456383532534;9.131571269114827
gen.0.3.1.0;🎞;-3.13717158141701;9.182224821106594
gen.0.3.1.1.0;📱;-5.226951064561508;8.976195929981152
gen.0.3.1.1.0;📺;-5.358176926658284;9.14480955601201
gen.0.3.1.1.0;🖥;-5.273557073605031;9.188129496245345
gen.0.3.1.1.0;💻;-5.273034416506797;9.089022252910064
gen.0.3.1.1.0.0;📼;-3.6272363356183135;9.01433727476364
gen.0.3.1.1.0.1;🔤;-4.271909804161758;8.914813240319717
gen.0.3.1.1.1;👓;-4.8886208957979935;7.397246006425872
gen.0.3.1.1.1;🕶;-4.482396676380512;7.189525880631314
gen.0.3.1.1.1;👕;-5.056141457058122;7.236832358323493
gen.0.3.1.1.1;👚;-4.934150125844299;6.984912772474394
gen.0.3.1.1.1;📷;-4.070742300102574;7.57961726778253
gen.0.3.1.1.2;🍀;-6.364118580749655;6.961490356093552
gen.0.3.1.1.2;📜;-5.684091087011807;5.94531119358437
gen.0.3.1.1.2;🔋;-6.463402939146742;7.134887402711536
gen.0.3.1.1.2;♻️;-6.170860167051789;7.633279072541756
gen.0.3.1.1.2;⌚;-5.93264591558796;8.74611651043508
gen.0.3.1.1.2;📲;-5.716601995433606;8.270814440496684
gen.0.3.1.1.2;🎧;-6.250291525352873;9.74055532970041
gen.0.3.1.1.2;🖊;-6.0268056630889015;8.056583272986268
gen.0.3.1.1.2;🖲;-5.605661400558449;8.132638607742042
gen.0.3.1.1.2;📹;-6.1450322085697575;9.294125343842207
gen.0.3.1.1.3;🎮;-5.139237993117349;10.17294726539945
gen.0.3.1.1.3;🕹;-5.083328189680255;10.260959136464116
gen.0.3.1.2;❄️;-3.2585816080533867;4.817139614826339
gen.0.3.1.2;⛄;-3.2869284727923715;4.793518310529151
gen.0.3.1.2;🌨;-3.0081299997674953;4.824872957963526
gen.0.3.1.2;☃;-3.4023038494299627;4.754092959688559
gen.0.3.1.3;🎀;-3.2182748037243485;3.2186410022172387
gen.0.3.1.3;🕎;-4.55477626861762;4.995079429530939
gen.0.3.1.3;🔯;-4.022848957592156;3.297899244157387
gen.0.3.1.3;🎅🏿;-4.856091572002921;2.877820264002934
gen.0.3.1.3;🛀;-5.580996663587202;1.8119873010562992
gen.0.3.1.3;🎏;-4.739969726239538;1.1750756358509535
gen.0.3.1.3.0;🎁;-4.7886001050297455;3.684198666424087
gen.0.3.1.3.0;🎄;-4.745496783708935;3.7311588489206655
gen.0.3.1.3.0;🎅;-5.074607688825736;4.4232479496444475
gen.0.3.1.3.0;🎅🏻;-4.937744306571803;4.163220515455879
gen.0.3.1.3.0;🎅🏼;-4.944147986081203;4.239253521734107
gen.0.3.1.3.0;🤶;-4.914335069180685;4.149198977902598
gen.0.3.1.3.0;🎅🏾;-4.901837571077355;3.9545703010380646
gen.0.3.1.3.1;🍾;-4.30330230093094;1.773026487224989
gen.0.3.1.3.1;🎈;-4.520647311317769;2.145114581013243
gen.0.3.1.3.1;🎊;-4.443774751446538;2.136338781046501
gen.0.3.1.3.1;🏮;-4.775260495814364;2.2232804734661364
gen.0.3.1.3.1;🎌;-4.61320363506839;2.0174040533663264
gen.0.3.1.3.1.0;🎉;-4.035738481786232;2.4098914262848354
gen.0.3.1.3.1.0;🛍;-3.734091447437364;2.4282254795511564
gen.0.3.1.3.1.0;✉️;-3.9395170354335765;2.558993288965011
gen.0.3.1.3.2;🎋;-5.944998773746103;4.301388152477244
gen.0.3.1.3.2;🎍;-5.733974837480144;3.5167113975374757
gen.0.3.2;🌵;-8.505916641860576;5.995563324519207
gen.0.3.2;🌲;-8.598990063730534;5.440106827990194
gen.0.3.2;🌱;-7.749692710985337;4.4972604438087265
gen.0.3.2;🌳;-8.519598383810761;5.42135616679744
gen.0.3.2;🍁;-9.734495305207753;4.824667015009354
gen.0.3.2;🍃;-7.863408751213694;5.714398392005083
gen.0.3.2;🐭;-8.674685554517835;5.372611520643579
gen.0.3.2;🍂;-9.667047400483751;4.9138537789944
gen.0.3.2;🇱🇨;-10.556338393544657;6.014688297050905
gen.0.3.2;🔳;-9.576048642781656;7.103574767813969
gen.0.3.2;🇧🇸;-9.486352419153729;2.784403544197672
gen.0.3.2;🇨🇷;-8.414777398343707;1.6319214050814124
gen.0.3.2;🇲🇨;-9.780886474628451;3.3482116367255896
gen.0.3.2;🛀🏼;-7.762186846803436;1.4487447303467753
gen.0.3.2.0;🌴;-9.106645727050074;2.0185125551414806
gen.0.3.2.0;🏖;-8.605303487875698;2.0512755444508652
gen.0.3.2.0;🏝;-8.894498601878809;2.385200847065802
gen.0.3.2.0;⛱;-8.588106930814853;2.353404625626328
gen.0.3.2.0;🏜;-8.373235077839556;2.4073411801047704
gen.0.3.2.0;🇲🇻;-8.706812897373773;2.428818568864191
gen.0.3.2.0;🇲🇪;-9.308502743523313;2.2130825468421196
gen.0.3.2.1;☕;-7.5519598819213405;3.9624528017921277
gen.0.3.2.1;⌛;-7.614819167615512;4.104565210815078
gen.0.3.2.1;☘;-7.59992139257177;4.1382589321502925
gen.0.3.2.1;🌻;-7.64454389634146;4.170267288685559
gen.0.3.3.0;🍧;-5.744618605975666;1.260602985453978
gen.0.3.3.0;🏌;-5.742425445374547;0.5652830633750475
gen.0.3.3.0;🤹;-5.737466665970086;-0.09296662673780665
gen.0.3.3.1;🙎🏼;-6.829283964715511;-0.3740180043592833
gen.0.3.3.1;🍶;-6.827845638299475;0.6573065658979017
gen.0.3.3.1;🛀🏻;-6.835754037181422;1.5458393278355553
gen.0.3.3.2;🇮🇪;-7.425355284450853;-0.7773949416920004
gen.0.3.3.3;🍻;-6.160412231455936;0.38790998099582497
gen.0.3.3.3;🍺;-6.460078384541653;0.4089247365227763
gen.0.3.3.3;🥃;-6.292082324625888;0.26018640110198826
gen.0.3.3.3;🍷;-6.715094773335227;0.47698586764994844
gen.0.3.3.3;🍸;-6.870320220534346;0.6459641848003457
gen.0.3.3.3;🍹;-6.966637321777523;0.7260773858269673
gen.0.3.3.3;🍵;-7.519926180316768;0.25207243114445294
gen.0.3.3.3;🚴🏻;-7.176651094793311;0.8662879421441299
gen.0.3.3.4;🇹🇹;-5.9677811292385226;-0.6819276468746748
gen.0.4.0.0.0;😉;-0.5095044684598723;-5.225243777045472
gen.0.4.0.0.0;😊;-0.8823928952458201;-5.449819121481554
gen.0.4.0.0.0;🙂;-0.4343097364810443;-5.315408586140598
gen.0.4.0.0.0;🌷;-1.3569336539744845;-5.834262078375087
gen.0.4.0.0.0;😜;0.178541337068152;-6.0809577038308325
gen.0.4.0.0.0;😏;1.0344609299843865;-5.277277118441324
gen.0.4.0.0.0;😝;0.19623522889138698;-6.168227622932011
gen.0.4.0.0.0;🙃;0.6820027424069465;-5.818673808864761
gen.0.4.0.0.0;🐜;0.6964763831114614;-5.826439431251459
gen.0.4.0.0.0;💁🏾;0.15771078122314114;-5.404996622485741
gen.0.4.0.0.0;😇;-1.4851982621518487;-5.153851529314094
gen.0.4.0.0.0;🐯;-2.0370754597206133;-5.14045999410281
gen.0.4.0.0.0;👼;-1.7360257627546394;-5.327255186227054
gen.0.4.0.0.0;🇳🇱;-0.8768229514767992;-5.128975987739058
gen.0.4.0.0.0.0;😆;-0.023709859194416438;-4.58940336442472
gen.0.4.0.0.0.0;😅;-0.04555152854485977;-4.615815150153498
gen.0.4.0.0.0.0;😄;-0.4751452715937294;-4.713527546679002
gen.0.4.0.0.0.0;😁;-0.5172422392923983;-4.579676160387612
gen.0.4.0.0.0.0;😀;-0.7221899725573008;-4.762268153562508
gen.0.4.0.0.0.0;😃;-0.5596305604292707;-4.702960756177001
gen.0.4.0.0.0.0;🇴🇲;-1.2774287649042237;-4.607686442984742
gen.0.4.0.0.0.1;🤗;-0.9129221633817158;-6.141278104034237
gen.0.4.0.0.0.1;☺️;-0.9270586343999673;-6.424423409652454
gen.0.4.0.0.0.1;🙋🏻;-0.853189842223664;-6.399151092001772
gen.0.4.0.0.1;🐼;-2.816961238462489;-4.385919344730384
gen.0.4.0.0.1;🎩;-1.8785665156840021;-4.3449080238939
gen.0.4.0.0.1;🐨;-2.845624083835289;-4.408101276241163
gen.0.4.0.0.2.0;👍;-1.0859691101117206;-2.1848437851772275
gen.0.4.0.0.2.0;😎;-1.2873466536904161;-2.6796370383623005
gen.0.4.0.0.2.0;👊;-1.0022802409973188;-2.3707398665401636
gen.0.4.0.0.2.0;✌️;-1.1323858295051297;-2.833342358409441
